E47G071006,1,1,2,3,4,5,6
E47G081003,1,2,2,3,4,5,6
E47G067006,1,1,2,3,4,5,6
E47G081004,1,1,2,3,4,5,6
E47G069010,1,1,1,2,3,4,5
E47G072010,1,1,1,1,2,3,4
E46G066096,1,2,2,3,4,5,6
E47G059006,1,1,1,1,2,2,3
E46G096091,1,0,0,0,0,0,0
E47G065005,1,1,2,3,4,4,5
E46G057094,1,1,1,1,2,2,3
E47G073010,1,1,1,1,2,3,4
E47G077001,1,2,3,4,5,6,7
E47G073001,1,2,3,4,5,6,7
E46G083087,1,2,2,3,3,3,4
E46G082090,1,2,2,3,3,3,4
E46G085090,1,2,2,3,3,3,4
E46G092088,1,2,2,3,3,3,4
E46G064095,1,2,2,2,3,3,4
E47G072007,1,2,3,4,5,6,7
E46G086092,1,2,2,3,3,3,4
E47G077011,1,1,1,1,2,2,3
E47G060010,1,1,1,1,2,3,4
E47G062006,1,2,2,3,4,5,6
E47G083003,1,2,2,3,4,5,6
E46G088096,1,2,3,4,5,5,6
E47G072003,1,1,2,3,4,5,6
E47G069012,1,2,2,3,4,4,5
E47G062008,1,2,2,3,4,5,6
E46G059091,1,1,1,2,3,4,5
E46G069088,1,2,2,2,3,3,4
E46G078091,1,1,1,2,2,3,4
E46G061090,1,2,2,3,4,5,6
E47G059010,1,1,1,1,2,2,2
E46G086093,1,2,2,3,4,4,5
E46G089093,1,2,2,3,4,4,5
E46G082095,1,2,2,3,4,4,5
E47G070011,1,1,1,2,3,3,4
E47G085005,1,1,1,1,2,3,4
E47G082009,1,2,2,2,3,4,5
E46G082085,1,2,2,3,3,3,4
E47G085004,1,1,1,2,3,4,5
E47G070013,1,0,0,0,0,0,0
E47G078003,1,2,3,4,5,6,7
E46G075088,1,2,2,3,4,4,5
E47G076002,1,1,2,3,4,5,6
E46G060091,1,2,2,3,4,5,6
E46G063093,1,2,2,2,3,3,4
E46G074096,1,1,2,3,4,5,6
E47G060007,1,2,2,3,4,5,6
E46G076090,1,2,2,3,4,4,5
E47G070008,1,1,2,3,4,5,6
E47G063010,1,1,2,3,4,5,6
E47G072001,1,2,3,4,5,6,7
E46G074086,1,1,1,2,2,2,3
E46G059096,1,1,1,2,3,4,5
E46G092093,1,0,0,0,0,0,0
E47G077004,1,1,2,3,4,5,6
E47G074009,1,1,2,2,3,4,5
E46G082089,1,2,2,3,3,3,4
E46G076091,1,2,2,3,4,5,6
E47G068010,1,1,1,2,3,4,5
E47G084006,1,1,1,1,2,3,4
E46G090089,1,1,1,2,2,2,3
E47G074005,1,2,3,4,5,6,7
E46G085088,1,2,2,3,3,3,4
E47G061006,1,2,2,3,4,5,6
E46G075086,1,1,1,2,2,2,3
E46G081095,1,2,2,3,4,4,5
E46G077091,1,1,1,2,3,4,5
E46G067096,1,2,3,4,5,6,7
E46G090088,1,1,1,2,2,2,3
E46G080094,1,2,2,3,0,4,5
E46G072089,1,2,2,3,4,4,5
E46G095092,1,0,0,0,0,0,0
E46G066086,1,0,0,0,0,0,0
E46G075090,1,2,2,3,4,4,5
E47G062010,1,1,1,2,3,4,5
E47G066010,1,1,2,3,4,5,6
E46G096092,1,0,0,0,0,0,0
E47G062007,1,2,2,3,4,5,6
E47G066002,1,1,1,2,3,4,5
E47G075007,1,2,3,4,5,6,7
E47G089001,1,0,0,0,0,0,0
E47G088004,1,0,0,0,0,0,0
E46G090093,1,1,1,2,3,3,4
